GageNumber ,GageName ,Agency ,November(cfs),December(cfs),January(cfs),February(cfs),March(cfs),AquaticBaseFlow(cfs)
FOL ,FOLSOM LAKE ,US Bureau of Reclamation ,1177,1228,1603,1838,1904,413
FSB ,FEATHER R ABV STAR BEND ,CA Dept of Water Resources/NCRO ,3331,3331,4258,5051,5297,1165
GRL ,FEATHER RIVER NEAR GRIDLEY ,CA Dept of Water Resources/O & M ,2152,2179,2537,3050,3162,704
ICR ,INDIAN CREEK BELOW INDIAN FALLS ,CA Dept of Water Resources ,188,188,203,302,362,54
KCK ,KELSEY CK BLW KELSEYVILLE ,CA Dept of Water Resources ,32,56,88,95,66,2.9
MCU ,MIDDLE CK NR UPPER LAKE ,CA Dept of Water Resources ,31,52,83,85,72,1.8
MER ,FEATHER RIVER AT MERRIMAC ,CA Dept of Water Resources/O & M ,514,514,586,771,921,167
MFP ,MIDDLE FORK FEATHER RIVER NEAR PORTOLA ,CA Dept of Water Resources ,94,94,94,112,127,83
ORO ,OROVILLE DAM ,CA Dept of Water Resources/O & M ,2128,2147,2509,3014,3036,696
SFH ,SOUTH HONCUT CREEK NEAR BANGOR ,CA Dept of Water Resources/NCRO ,22,38,61,62,50,2
11456000,NAPA R NR ST HELENA CA ,USGS ,52,88,153,159,110,1.6
11458000,NAPA R NR NAPA CA ,USGS ,109,172,335,342,229,3.5
11458500,SONOMA C A AGUA CALIENTE CA ,USGS ,38,65,110,117,76,3.7
11459500,NOVATO C A NOVATO CA ,USGS ,7.5,13,23,24,15,1.1
11460000,CORTE MADERA C A ROSS CA ,USGS ,10,20,32,32,20,1
11460151,REDWOOD C A HWY 1 BRIDGE A MUIR BEACH CA ,USGS ,4.6,8.2,13,11,7.3,1.5
11461000,RUSSIAN R NR UKIAH CA ,USGS ,69,138,197,189,143,3.8
11463000,RUSSIAN R NR CLOVERDALE CA ,USGS ,324,606,940,935,677,8.9
11463200,BIG SULPHUR C NR CLOVERDALE CA ,USGS ,63,115,181,190,128,2.9
11463900,MAACAMA C NR KELLOGG CA ,USGS ,35,61,103,103,73,1.4
11464000,RUSSIAN R NR HEALDSBURG CA ,USGS ,521,972,1522,1539,1082,14
11465200,DRY C NR GEYSERVILLE CA ,USGS ,131,253,391,379,253,6.7
11465750,LAGUNA DE SANTA ROSA C NR SEBASTOPOL CA ,USGS ,33,53,103,101,66,3.8
11466320,SANTA ROSA C A WILLOWSIDE RD NR SANTA ROSA CA ,USGS ,44,76,132,135,89,2
11466800,MARK WEST C NR MIRABEL HEIGHTS CA ,USGS ,134,226,407,412,273,7.2
11467000,RUSSIAN R NR GUERNEVILLE CA ,USGS ,878,1645,2585,2592,1829,26
11467200,AUSTIN C NR CAZADERO CA ,USGS ,64,139,184,179,120,1.3
11467510,SF GUALALA R NR THE SEA RANCH CA ,USGS ,149,323,437,424,279,4.9
11467553,NF GUALALA R AB SF GUALALA R NR GUALALA CA ,USGS ,39,77,117,107,80,3.9
11468000,NAVARRO R NR NAVARRO CA ,USGS ,200,407,611,557,422,8.4
11468500,NOYO R NR FORT BRAGG CA ,USGS ,82,169,240,212,175,5.5
11468900,MATTOLE R NR ETTERSBURG CA ,USGS ,113,268,306,265,212,7.8
11469000,MATTOLE R NR PETROLIA CA ,USGS ,406,942,1118,960,769,27
10296000,"W WALKER RV BLW L WALKER RV NR COLEVILLE, CA ",USGS ,89,102,102,102,102,79
10296500,"W WALKER RV NR COLEVILLE, CA ",USGS ,103,106,106,106,106,92
10308200,E FK CARSON RV BLW MARKLEEVILLE CK NR MARKLEEVILLE ,USGS ,117,137,137,137,137,71
10310000,"W FK CARSON RV AT WOODFORDS, CA ",USGS ,35,41,41,41,41,22
10336610,"UPPER TRUCKEE RV AT SOUTH LAKE TAHOE, CA ",USGS ,27,35,35,35,35,11
10336645,GENERAL C NR MEEKS BAY CA ,USGS ,5,6.2,6.2,6.2,6.2,1.2
10336660,BLACKWOOD C NR TAHOE CITY CA ,USGS ,11,13,13,13,13,2.1
10336780,"TROUT CK NR TAHOE VALLEY, CA ",USGS ,14,14,14,14,14,15
10343500,SAGEHEN C NR TRUCKEE CA ,USGS ,5.2,5.2,5.2,5.2,5.2,2.2
11141280,LOPEZ C NR ARROYO GRANDE CA ,USGS ,3.8,3.8,8.1,10,8.4,2.2
11143000,BIG SUR R NR BIG SUR CA ,USGS ,38,43,90,102,85,13
11143200,CARMEL R A ROBLES DEL RIO CA ,USGS ,40,67,158,210,162,3.9
11143250,CARMEL R NR CARMEL CA ,USGS ,40,71,175,244,181,5.5
11147500,SALINAS R A PASO ROBLES CA ,USGS ,20,43,117,149,114,1.9
11148500,ESTRELLA R NR ESTRELLA CA ,USGS ,22,28,61,96,91,1.5
11148900,NACIMIENTO R BL SAPAQUE C NR BRYSON CA ,USGS ,27,63,156,177,124,4.7
11149400,NACIMIENTO R BL NACIMIENTO DAM NR BRADLEY CA ,USGS ,16,34,108,118,80,4.7
11149900,SAN ANTONIO R NR LOCKWOOD CA ,USGS ,33,65,140,168,113,6.2
11150500,SALINAS R NR BRADLEY CA ,USGS ,75,136,350,411,399,4.4
11151300,SAN LORENZO C BL BITTERWATER C NR KING CITY CA ,USGS ,3.9,7.7,18,24,23,1.2
11151700,SALINAS R A SOLEDAD CA ,USGS ,107,167,429,519,497,11
11152000,ARROYO SECO NR SOLEDAD CA ,USGS ,64,99,206,280,209,9.8
11152050,ARROYO SECO BL RELIZ C NR SOLEDAD CA ,USGS ,57,96,208,278,189,8.4
11152500,SALINAS R NR SPRECKELS CA ,USGS ,125,219,539,666,618,16
11153000,PACHECO C NR DUNNEVILLE CA ,USGS ,4.2,9.7,27,36,24,2.3
11153650,LLAGAS C NR GILROY ,USGS ,11,18,59,53,37,1.3
11156500,SAN BENITO R NR WILLOW CREEK SCHOOL CA ,USGS ,7,17,34,59,50,1.5
11157500,TRES PINOS C NR TRES PINOS CA ,USGS ,3.5,10,29,35,26,1.4
11158600,SAN BENITO R A HWY 156 NR HOLLISTER CA ,USGS ,15,32,79,99,80,1.8
11159000,PAJARO R A CHITTENDEN CA ,USGS ,50,91,288,279,210,3.5
11159200,CORRALITOS C A FREEDOM CA ,USGS ,10,16,29,28,22,2.3
11160000,SOQUEL C A SOQUEL CA ,USGS ,17,26,45,48,37,2.3
11160500,SAN LORENZO R A BIG TREES CA ,USGS ,52,71,129,145,110,16
11161000,SAN LORENZO R A SANTA CRUZ CA ,USGS ,57,83,144,159,119,17
11162500,PESCADERO C NR PESCADERO CA ,USGS ,12,23,43,47,36,2.5
11162570,SAN GREGORIO C A SAN GREGORIO CA ,USGS ,16,25,45,45,35,1.3
11162630,PILARCITOS C A HALF MOON BAY CA ,USGS ,9,11,21,21,17,2
11164500,SAN FRANCISQUITO C A STANFORD UNIVERSITY CA ,USGS ,11,17,38,40,29,1.3
11166000,MATADERO C A PALO ALTO CA ,USGS ,1.4,1.6,4.8,5.4,3.2,1.6
11169025,GUADALUPE R ABV HWY 101 A SAN JOSE CA ,USGS ,38,58,168,161,104,1.5
11169500,SARATOGA C A SARATOGA CA ,USGS ,3.1,5.1,9,10,8,1
11169800,COYOTE C NR GILROY CA ,USGS ,7.3,19,57,65,45,2.1
11172175,COYOTE C AB HWY 237 A MILPITAS CA ,USGS ,20,52,134,147,100,1.6
11172945,ALAMEDA C AB DIV DAM NR SUNOL CA ,USGS ,4.2,10,21,23,19,1.6
11173200,ARROYO HONDO NR SAN JOSE CA ,USGS ,8.8,20,44,49,39,1.2
11173800,INDIAN C NR SUNOL CA ,USGS ,0.8,2,4.1,4.2,3.8,2.7
11174600,ALAMO CN NR PLEASANTON CA ,USGS ,2.9,5.1,16,15,11,1.7
11176400,ARROYO VALLE BL LANG CYN NR LIVERMORE CA ,USGS ,5.2,16,43,51,38,1
11176500,ARROYO VALLE NR LIVERMORE CA ,USGS ,6,18,48,58,41,1.3
11176900,ARROYO DE LA LAGUNA A VERONA CA ,USGS ,12,36,117,114,85,1.2
11180500,DRY C A UNION CITY CA ,USGS ,0.52,1.5,3.4,3.9,2.9,1.2
11180825,SAN LORENZO C AB DON CASTRO RES NR CASTRO V CA ,USGS ,1.6,3.3,7.7,8.2,6,1.5
11180900,CROW C NR HAYWARD CA ,USGS ,1.1,2.6,5.9,6.3,4.8,1.3
11180960,CULL C AB CULL C RES NR CASTRO VALLEY CA ,USGS ,0.57,1.5,3.5,3.8,3,1.9
11181040,SAN LORENZO C A SAN LORENZO CA ,USGS ,4,9.5,24,23,18,1.5
11224000,MF SAN JOAQUIN R NR MAMMOTH LAKES CA ,USGS ,23,25,28,27,31,13
11251000,SAN JOAQUIN R BL FRIANT CA ,USGS ,518,711,711,711,768,307
11255575,PANOCHE C A I-5 NR SILVER CREEK CA ,USGS ,3.8,6.3,11,22,20,1
11264500,MERCED R A HAPPY ISLES BRIDGE NR YOSEMITE CA ,USGS ,75,108,132,135,145,22
11266500,MERCED R A POHONO BRIDGE NR YOSEMITE CA ,USGS ,138,225,259,259,259,41
11274500,ORESTIMBA C NR NEWMAN CA ,USGS ,1.1,6.2,18,26,16,2.5
11274630,DEL PUERTO C NR PATTERSON CA ,USGS ,0.7,2.7,6.8,10,7.6,2.2
11274790,TUOLUMNE R A GRAND CYN OF TUOLUMNE AB HETCH HETCHY ,USGS ,170,197,225,211,237,66
11276500,TUOLUMNE R NR HETCH HETCHY CA ,USGS ,272,362,406,409,409,94
11276900,TUOLUMNE R BL EARLY INTAKE NR MATHER CA ,USGS ,276,377,414,414,414,98
11284400,BIG C AB WHITES GULCH NR GROVELAND CA ,USGS ,3.7,5.1,9.4,11,9.5,1.1
11285500,TUOLUMNE R A WARDS FERRY BR NR GROVELAND CA ,USGS ,601,761,761,761,816,292
11289650,TUOLUMNE R BL LAGRANGE DAM NR LAGRANGE CA ,USGS ,653,767,767,793,950,340
11299600,BLACK C NR COPPEROPOLIS CA ,USGS ,2.3,4.4,11,11,8.8,1.8
11303000,STANISLAUS R A RIPON CA ,USGS ,481,504,504,526,639,222
BAR ,BEAR ,US Army Corps of Engineers ,6,8.5,19,22,20,1.4
BDV ,BLACK RASCAL DIVERSION ,US Army Corps of Engineers ,1.6,1.6,3.8,4.6,3.3,1.1
BUR ,BURNS CREEK DAM ,US Army Corps of Engineers ,4.2,4.8,12,13,12,1.3
DCM ,DRY CREEK AT MODESTO AT CLAUS ROAD ,CA Dept of Water Resources ,12,12,29,34,28,1.8
FHL ,FRESNO R ABV HENLEY LAKE ,US Army Corps of Engineers ,46,58,103,120,133,2.1
GDW ,GOODWIN DAM ,US Bureau of Reclamation ,479,543,543,543,653,224
GRF ,SAN JOAQUIN RIVER AT GRAVELLY FORD ,US Bureau of Reclamation ,518,697,697,697,759,332
LDC ,LITTLE DRY CREEK (USBR) ,US Bureau of Reclamation ,3.3,4.1,8.9,12,11,1.2
MIL ,FRIANT DAM (MILLERTON) ,US Bureau of Reclamation ,516,720,720,720,764,307
MSN ,MERCED RIVER NEAR SNELLING ,CA Dept of Water Resources ,344,392,460,531,620,146
MST ,MERCED RIVER NEAR STEVINSON ,CA Dept of Water Resources/SCRO ,348,348,436,520,597,130
NHG ,NEW HOGAN LAKE ,US Army Corps of Engineers ,146,200,411,400,346,4.4
NML ,NEW MELONES RESERVOIR ,US Bureau of Reclamation ,481,550,550,550,619,218
OBB ,STANISLAUS R AT ORANGE BLOSSOM BRIDGE ,CA Dept of Water Resources ,486,533,533,533,656,219
TUM ,TUOLUMNE MEADOWS ,CA Dept of Water Resources ,24,24,28,25,32,12
10251330,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA ",USGS ,47,47,48,75,137,17
10251335,"WILLOW CK AT CHINA RANCH, CA ",USGS ,2.1,2.1,2.1,3.3,4.6,2.5
10260500,DEEP C NR HESPERIA CA ,USGS ,33,36,59,75,91,7.8
10260950,WF MOJAVE R AB MOJAVE R FORKS RES NR HESPERIA CA ,USGS ,11,13,28,37,35,2.2
10261500,MOJAVE R A LO NARROWS NR VICTORVILLE CA ,USGS ,39,42,69,99,98,4.3
10262500,MOJAVE R A BARSTOW CA ,USGS ,63,104,164,150,144,7.7
10263500,BIG ROCK C NR VALYERMO CA ,USGS ,6.5,6.5,8.3,13,13,3.9
10265150,HOT C A FLUME NR MAMMOTH LAKES CA ,USGS ,22,25,27,27,27,22
11189500,SF KERN R NR ONYX CA ,USGS ,61,61,61,65,61,39
11200800,DEER C NR FOUNTAIN SPRINGS CA ,USGS ,6.1,8.3,11,17,18,5.5
11203580,SF TULE R NR CHOLOLLO CAMPGROUND NR PORTERVILLE CA ,USGS ,4.9,6.3,6.3,7.5,9.8,2.7
11204100,SF TULE R NR RESERVATION BNDRY NR PORTERVILLE CA ,USGS ,11,14,19,25,29,3.7
11206820,MARBLE FORK KAWEAH R AB HORSE C NR LODGEPOLE CA ,USGS ,4.7,6.1,6.9,6.8,8.3,2.3
11224500,LOS GATOS C AB NUNEZ CYN NR COALINGA CA ,USGS ,1,3,6.2,10,9.3,3.2
11253310,CANTUA C NR CANTUA CREEK CA,USGS ,0.53,1.3,2.5,4,4.3,1.8
ISB ,ISABELLA DAM ,US Army Corps of Engineers ,274,274,274,274,274,310
KKV ,KERN R AT KERNVILLE ,US Army Corps of Engineers ,255,290,290,290,290,172
KRT ,KINGS R NR TRIMMER ,US Army Corps of Engineers ,441,695,759,759,759,277
LCV ,DRY CREEK NEAR LEMONCOVE ,US Army Corps of Engineers ,13,19,33,40,42,1
PDR ,MILL CREEK NEAR PIEDRA ,US Army Corps of Engineers ,16,27,50,59,64,1.2
PNF ,PINE FLAT DAM ,US Army Corps of Engineers ,475,715,715,715,715,329
SCC ,SUCCESS DAM ,US Army Corps of Engineers ,51,61,75,104,111,16
TRM ,TERMINUS DAM ,US Army Corps of Engineers ,149,177,177,197,226,89
TRR ,KAWEAH RIVER AT THREE RIVERS ,US Army Corps of Engineers ,125,186,186,186,207,62
11014000,JAMUL C NR JAMUL CA ,USGS ,1.8,2.9,5.8,11,9.9,3.4
11015000,SWEETWATER R NR DESCANSO CA ,USGS ,5.1,6.3,11,16,19,2.9
11016200,SWEETWATER R A DEHESA CA,USGS ,6.2,9.4,18,28,29,3.5
11023000,SAN DIEGO R A FASHION VALLEY AT SAN DIEGO CA ,USGS ,14,21,42,64,71,4
11023340,LOS PENASQUITOS C NR POWAY CA ,USGS ,1.5,1.8,5.1,6.5,6.4,1.6
11027000,GUEJITO C NR SAN PASQUAL CA ,USGS ,1.3,1.5,3.7,5.5,4.4,2.2
11028500,SANTA MARIA C NR RAMONA CA ,USGS ,3.2,3.2,7.4,11,9.6,1
11042000,SAN LUIS REY R A OCEANSIDE CA ,USGS ,17,30,70,96,89,1.2
11042400,TEMECULA C NR AGUANGA CA,USGS ,7.4,7.7,16,24,21,1.6
11044300,SANTA MARGARITA R A FPUD SUMP NR FALLBROOK CA ,USGS ,24,24,55,78,71,2.8
11044350,SANDIA C NR FALLBROOK CA,USGS ,0.28,0.76,2,3.4,2.2,1
11044800,DE LUZ C NR DE LUZ CA ,USGS ,0.52,1.3,3.1,5.8,4,1
11046000,SANTA MARGARITA R A YSIDORA CA ,USGS ,25,27,59,93,81,3
11046100,LAS FLORES C NR OCEANSIDE CA ,USGS ,0.66,1,2.6,3.9,2.9,1
11046300,SAN MATEO C NR SAN CLEMENTE CA ,USGS ,1.8,4.7,11,19,14,1.1
11046360,CRISTIANITOS C AB SAN MATEO C NR SAN CLEMENTE CA ,USGS ,0.88,1.4,3.6,6,4,1.2
11047300,ARROYO TRABUCO A SAN JUAN CAPISTRANO CA ,USGS ,1.4,2.9,7.8,10,9.6,3.4
11048200,AGUA CHINON WASH NR IRVINE CA ,USGS ,0.05,0.15,0.41,0.64,0.45,1
11051499,SANTA ANA R NR MENTONE (RIVER ONLY) CA ,USGS ,39,39,41,58,69,18
11055800,CITY C NR HIGHLAND CA ,USGS ,3.6,4.4,8,11,11,1.3
11057500,SAN TIMOTEO C NR LOMA LINDA CA ,USGS ,6.5,7.3,14,24,20,1.2
11058500,E TWIN C NR ARROWHEAD SPRINGS CA ,USGS ,1.6,1.7,3.3,4.7,4.4,1
11062000,LYTLE C NR FONTANA CA ,USGS ,22,22,37,47,47,11
11063510,CAJON C BL LONE PINE C NR KEENBROOK CA ,USGS ,10,10,19,28,25,3.1
11063680,DEVIL CYN C NR SAN BERNARDINO CA ,USGS ,1.7,1.7,4.1,4.8,3.8,1.8
11069500,SAN JACINTO R NR SAN JACINTO ,USGS ,12,13,21,32,30,3.5
11070365,SAN JACINTO R NR SUN CITY CA ,USGS ,22,25,62,75,66,2.9
11073360,CHINO C A SCHAEFER AVENUE NR CHINO CA ,USGS ,8.9,11,23,29,27,3
11073495,CUCAMONGA C NR MIRA LOMA CA ,USGS ,9.5,10,26,37,25,1.5
11078000,SANTA ANA R A SANTA ANA CA,USGS ,140,166,368,502,425,16
11098000,ARROYO SECO NR PASADENA CA ,USGS ,3.7,3.7,8.1,11,9.2,1.8
11109000,SANTA CLARA R NR PIRU CA ,USGS ,43,43,87,157,120,1.1
11109600,PIRU CREEK ABOVE LAKE PIRU CA ,USGS ,31,31,61,95,80,3.7
11109800,PIRU CREEK BELOW SANTA FELICIA DAM CA ,USGS ,34,34,67,113,90,2.6
11111500,SESPE CREEK NEAR WHEELER SPRINGS CA ,USGS ,4.9,7.6,16,28,22,1.7
11113000,SESPE C NR FILLMORE ,USGS ,34,40,91,150,104,1
11113500,SANTA PAULA C NR SANTA PAULA ,USGS ,5.1,6.1,14,23,16,1.4
11114495,MATILIJA C NR RES NR MATILIJA HOT SPRINGS CA ,USGS ,8.4,12,27,43,30,1.8
11118500,VENTURA R NR VENTURA ,USGS ,24,34,90,135,83,1.9
11119500,CARPINTERIA C NR CARPINTERIA CA ,USGS ,2.3,3.2,8.7,13,7.6,1.3
11119750,MISSION C NR MISSION ST NR SANTA BARBARA CA ,USGS ,1.3,1.7,4.4,6.8,4.1,1.8
11120000,ATASCADERO C NR GOLETA CA,USGS ,1.9,2.9,7.7,11,7.7,1.4
11120500,SAN JOSE C NR GOLETA CA ,USGS ,0.86,1.2,3.2,4.4,3,1.1
11123500,SANTA YNEZ R BL LOS LAURLS CYN NR SNTA YNEZ CA ,USGS ,34,55,124,213,147,2.2
11124500,SANTA CRUZ C NR SANTA YNEZ CA ,USGS ,5.1,11,22,36,32,2.6
11128250,ALAMO PINTADO C NR SOLVANG CA ,USGS ,2,3.3,8.5,12,9.1,1.8
11128500,SANTA YNEZ R A SOLVANG CA,USGS ,56,95,239,341,255,3
11129800,ZACA C NR BUELLTON CA ,USGS ,1.9,3.6,9.6,13,10,2.2
11132500,SALSIPUEDES C NR LOMPOC CA ,USGS ,2.4,4.7,12,18,13,2.1
11134000,SANTA YNEZ R A H ST NR LOMPOC CA ,USGS ,62,110,281,368,312,9.6
11135800,SAN ANTONIO C A LOS ALAMOS CA ,USGS ,2,3.8,9.8,15,10,1.1
11136100,SAN ANTONIO C NR CASMALIA CA ,USGS ,5.2,8.5,23,37,26,1.2
11136600,SANTA BARBARA CYN C NR VENTUCOPA CA ,USGS ,2.5,3.2,5.8,10,8.8,2
11136800,CUYAMA R BL BUCKHORN CYN NR SANTA MARIA CA ,USGS ,22,33,59,98,92,3
11137900,HUASNA R NR ARROYO GRANDE CA ,USGS ,4.1,9.2,21,31,23,3.4
11138500,SISQUOC R NR SISQUOC CA ,USGS ,9.4,24,41,77,77,1.3
11140000,SISQUOC R NR GAREY ,USGS ,17,44,96,134,143,2.6
11140585,SANTA MARIA R A SUEY CROSSING NR SANTA MARIA CA ,USGS ,44,81,148,266,241,7.6
11141050,ORCUTT C NR ORCUTT CA ,USGS ,0.84,1.2,2.8,5.1,3.2,1.4
CCH ,CACHUMA LAKE ,US Bureau of Reclamation ,47,78,175,295,212,2.7
